"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","gene_name","gene_type","direction","ensembl_clean","ENTREZID"
6.5976378607646,-3.06344399809959,0.418875692421673,-7.31349193453719,2.60287937548754e-13,1.41805758249852e-11,"ENSG00000000005.6","TNMD","protein_coding","Down_in_MUT","ENSG00000000005","64102"
4833.5510142173,1.66951809235092,0.177579865870132,9.40150553763718,5.37878391447954e-21,1.07815862980112e-18,"ENSG00000001084.13","GCLC","protein_coding","Up_in_MUT","ENSG00000001084","2729"
34.2494491416079,1.1211028304213,0.233938829377106,4.79229050348924,1.64887913178843e-06,1.48786599120128e-05,"ENSG00000002745.13","WNT16","protein_coding","Up_in_MUT","ENSG00000002745","51384"
264.230277130689,1.26380546415184,0.214503127665012,5.8917810565705,3.82055166653695e-09,7.02219158963085e-08,"ENSG00000003987.14","MTMR7","protein_coding","Up_in_MUT","ENSG00000003987","9108"
6188.73700972576,1.77691602970424,0.219409160984201,8.09864101267944,5.55765178141644e-16,5.07529856520124e-14,"ENSG00000003989.18","SLC7A2","protein_coding","Up_in_MUT","ENSG00000003989","6542"
362.329593970369,-1.4745998324042,0.206279140398044,-7.14856494727854,8.76897600183593e-13,4.15268995771936e-11,"ENSG00000004838.14","ZMYND10","protein_coding","Down_in_MUT","ENSG00000004838","51364"
192.433852132108,-1.7057825385695,0.259093657995344,-6.58365222741251,4.59030134416019e-11,1.40400666160969e-09,"ENSG00000004848.8","ARX","protein_coding","Down_in_MUT","ENSG00000004848","170302"
883.971801442238,-1.05103776520717,0.13352250225659,-7.87161525169285,3.50091416497828e-15,2.78248467212027e-13,"ENSG00000005379.17","TSPOAP1","protein_coding","Down_in_MUT","ENSG00000005379","9256"
93.2394442631604,-1.38420322955094,0.207574287295282,-6.66847155101566,2.58481141352973e-11,8.33810977334068e-10,"ENSG00000005421.9","PON1","protein_coding","Down_in_MUT","ENSG00000005421","5444"
56.5973297281393,1.21934295803711,0.266253583276367,4.5796302270661,4.65798694571344e-06,3.67462133531765e-05,"ENSG00000006071.15","ABCC8","protein_coding","Up_in_MUT","ENSG00000006071","6833"
18.8067037797657,2.62642257222599,0.547996478380024,4.79277271998201,1.64491939449599e-06,1.48471328297881e-05,"ENSG00000006128.12","TAC1","protein_coding","Up_in_MUT","ENSG00000006128","6863"
4943.53367029683,-1.56053493633666,0.156852031328737,-9.94908974475461,2.54500350152339e-23,7.373800599732e-21,"ENSG00000006210.7","CX3CL1","protein_coding","Down_in_MUT","ENSG00000006210","6376"
