"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","ENTREZID"
3492.77756856706,-0.047869816118548,0.109506196972743,-0.437142531125093,0.662007984383824,0.766266033593728,"ENSG00000000003.15","7105"
44.2231047296448,-2.11784130294669,0.498183881090973,-4.25112369815906,NA,NA,"ENSG00000000005.6","64102"
1654.41035075945,0.118489404322124,0.0778707789422366,1.52161575794712,0.128105386800569,0.231923905724967,"ENSG00000000419.13","8813"
801.731008910739,0.222259144921125,0.0669180155575101,3.32136485323766,0.000895783530677303,0.00473526679426492,"ENSG00000000457.14","57147"
408.468463738939,0.190316909454612,0.100759739394098,1.88881899257632,0.0589160869652048,0.129324263891546,"ENSG00000000460.17","55732"
1094.36491950326,-0.434713601997743,0.134340759971063,-3.23590250711236,0.00121258791913001,0.00603457383751634,"ENSG00000000938.13","2268"
5488.48095211056,-0.0572576435628237,0.155758648859318,-0.367604906579146,0.713167855714328,0.805478650429925,"ENSG00000000971.16","3075"
2578.27034340327,0.360197529280828,0.0881359419076077,4.086840413624,4.37287687927349e-05,0.000402214643075059,"ENSG00000001036.14","2519"
4639.88758381508,1.81624904835302,0.199967073829065,9.08274054110315,1.05874780735615e-19,4.94182390738044e-17,"ENSG00000001084.13","2729"
2044.26712819383,-0.107375959138788,0.0789620859514867,-1.35984197789251,0.173879935297409,0.291834230481183,"ENSG00000001167.14","4800"
596.569061443519,-0.0971895694971469,0.0879464524550393,-1.10509937335827,0.269116532108321,0.403917043552316,"ENSG00000001460.18","90529"
2405.33168018694,-0.0650790957142918,0.0929153557905895,-0.700412705311763,0.483669603965441,0.616926320450739,"ENSG00000001461.17","57185"
2197.95343453905,0.0709955891291432,0.0598118657226828,1.18698168450912,0.235234845037637,0.365558502726198,"ENSG00000001497.18","81887"
2326.58115760298,-0.00181651823375911,0.106354023485722,-0.0170799201969353,0.986372857938333,0.992019243811078,"ENSG00000001561.7","22875"
1970.7603496469,0.187503317948415,0.130527613417332,1.43650307424925,0.150859242193357,0.262728801086643,"ENSG00000001617.12","6405"
1018.98308072758,-0.84946349487451,0.260526167097993,-3.26056881094403,0.00111188984418882,0.00563111434774364,"ENSG00000001626.16","1080"
3379.4185107811,-0.0494761407091066,0.0776182071697196,-0.63742957372002,0.523845070008051,0.651276412274858,"ENSG00000001629.10","54467"
133.573018803764,0.141138480623016,0.135339903818383,1.04284454651611,0.297020296046061,0.4340724201247,"ENSG00000001630.17","1595"
304.714736666245,0.143813124387135,0.068868631344382,2.08822393562591,0.0367776391498231,0.0901809692036006,"ENSG00000001631.16","889"
421.565774105096,0.0617329006855396,0.0906057547606649,0.681335317481843,0.495659340819062,0.627157486120661,"ENSG00000002016.18","5893"
38.9566513103552,0.147613007519508,0.233270048244744,0.632798803919458,0.526865037948979,0.653913177432965,"ENSG00000002079.14",NA
521.905129650563,0.012884252845618,0.0900978109945181,0.143002950941859,0.886287850633621,0.92822772782536,"ENSG00000002330.14","572"
6180.97434723184,-0.112926213704201,0.0854295640423894,-1.32186339670618,0.186213642985563,0.307550000374307,"ENSG00000002549.12","51056"
8694.46784333242,0.125643421659697,0.099316966458079,1.26507510388701,0.205844406484026,0.331310968809827,"ENSG00000002586.20","4267"
1265.9572067324,-0.767523610148649,0.171329423302832,-4.47981202149976,7.47088048632591e-06,9.417043347395e-05,"ENSG00000002587.10","9957"
2302.07834358213,0.794152537187717,0.310202017178656,2.56011403281861,0.0104637822473946,0.0337528480889913,"ENSG00000002726.21","26"
97.7556184842319,2.07113563237181,0.301060470346077,6.87946720468144,NA,NA,"ENSG00000002745.13","51384"
90.0964766971489,0.588782461370287,0.181925183187057,3.23639889242215,0.0012104810025795,0.00602696583245799,"ENSG00000002746.15","23072"
31.4868208615374,-0.480480114092694,0.137477554575246,-3.49497134697512,0.000474112650090185,0.00282202605753147,"ENSG00000002822.15","8379"
13915.5558713526,0.207833587473935,0.0835687500195939,2.48697733812227,0.012883360548641,0.0397730833600838,"ENSG00000002834.18","3927"
1390.2915933001,-0.0579804170948219,0.0647282697216776,-0.895751073590095,0.370385726041021,0.510079570184289,"ENSG00000002919.15","29916"
4103.09072904563,0.564110847757346,0.167781099853805,3.36218351321383,0.000773287134781396,0.00420135659590316,"ENSG00000002933.9","55365"
3559.96620302245,-0.0303827591855927,0.0861330890349802,-0.352742012692169,0.724281859775185,0.813886690648558,"ENSG00000003056.8","4074"
179.806411601465,-0.514221488808284,0.22382436711371,-2.29743300713565,0.021594080653815,0.0594359869993624,"ENSG00000003096.14","90293"
292.009504540164,-0.132291802688606,0.177024394554673,-0.747308318841606,0.45487747213816,0.591295335696095,"ENSG00000003137.8","56603"
2169.59950464305,0.32203377091317,0.0994835556918797,3.23705529696357,0.00120770007383518,0.00601506756255457,"ENSG00000003147.19","3382"
1670.14130792953,0.540195874117758,0.121945358318677,4.42981907278567,9.43121788840719e-06,0.000114097670028688,"ENSG00000003249.15","79007"
1397.92463089799,0.110804102587532,0.0555445531175412,1.99486891816472,0.0460571782797895,0.10731372456098,"ENSG00000003393.15","57679"
1854.89326261698,-0.372615866311831,0.0867106727864651,-4.29723186705563,1.72944265115755e-05,0.000187404227406965,"ENSG00000003400.15","843"
