"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",198,-0.330768896768158,-1.71806527607607,5.29398853896283e-05,0.000115086707368757,2.18059024488172e-05,7592,"tags=49%, list=33%, signal=33%","55742/79849/57463/5728/3675/51208/65266/1758/5089/8515/7059/8503/1432/5819/7216/1364/1297/9074/3680/57863/6850/88/649/1265/5818/947/7533/51148/5175/5310/7414/5880/10458/147/4318/10487/4763/7185/8910/70/58/26119/30835/1004/51754/5010/4627/29126/999/4628/7791/84552/5788/1462/942/7070/87/140885/60/7412/1001/4892/1956/5921/3673/2771/9672/1307/91624/10290/10398/7045/2200/7087/257194/51466/9353/9379/10205/25945/5335/51474/1308/4313/357/2037/57555/3667/9080/143903/1002/3383/72/9459/1825/6376/1009",0.557332238758646
"HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS",36,-0.450139478586296,-1.68028301252769,0.007037839007742,0.0106633924359727,0.00202043225102641,2839,"tags=39%, list=12%, signal=34%","1462/1290/4973/351/894/1281/350/6372/11167/5553/4060/8829/3685/6578",0.407017918923954
"HALLMARK_PEROXISOME","HALLMARK_PEROXISOME",103,0.375997143152623,1.67653440864853,0.00216650659512915,0.00386876177701633,0.000733028547224147,5299,"tags=38%, list=23%, signal=29%","3417/5052/1056/216/6647/8443/7276/223/3416/23417/3422/1503/10478/1891/10455/2055/1022/8800/9962/2224/5830/3418/54982/7555/390916/51024/1487/3155/3265/5195/5243/2071/6833/51015/25824/291/6820/3992/1718",0.431707695803346
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",199,-0.29817971469799,-1.54810977141535,0.00124478012402561,0.00239380793081848,0.000453563607944554,6205,"tags=42%, list=27%, signal=31%","8320/3559/26018/5325/5359/8651/598/7133/64375/27242/4050/3627/23258/2323/115361/81848/4616/23413/29851/7185/1893/6515/1493/177/84230/3563/57157/126669/5583/3662/57045/254013/3566/6095/1233/6402/943/960/64116/5621/3586/80760/3394/8477/1316/22822/659/158219/8553/942/2623/8835/285172/894/22807/79026/3587/10875/2983/9308/1154/5745/1291/196/152007/123/825/8829/3685/200734/51284/4135/2012/7074/92749/64332/4907/5732/79971/1435/1437/10924/8743",0.45505986738723
"HALLMARK_COAGULATION","HALLMARK_COAGULATION",135,-0.312811186824787,-1.53036031299417,0.00247713145075083,0.00415951656105244,0.000788118927357305,5314,"tags=36%, list=23%, signal=27%","4318/301/5641/10404/3818/6284/8237/732/629/4317/4314/715/5341/7018/344/7044/55970/4323/1519/7057/4035/4973/8609/6678/2/3673/10747/1512/5265/5340/5627/710/2200/1311/2335/4313/1513/4319/5654/1803/7980/4320/2534/7078/3690/5055/1848/5327",0.431707695803346
"HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION",96,0.346065176077023,1.51876125129542,0.00833919978129611,0.0122635290901413,0.00232361603813204,4508,"tags=27%, list=20%, signal=22%","6647/375/2717/22796/10067/8027/7251/664/286451/11311/10972/1175/11316/51606/5862/164/3382/3875/967/51614/858/7163/10959/1182/7103/2778",0.380730400722792
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",194,-0.291347999001836,-1.49256850811891,0.00249570993663147,0.00415951656105244,0.000788118927357305,5389,"tags=37%, list=23%, signal=28%","7169/6709/4616/3479/1306/4205/5348/8038/6588/1839/70/1284/58/23654/844/2247/1346/6840/3490/4627/3693/2702/29970/624/5621/4635/23175/1160/6764/3908/8553/1756/351/1281/4621/1674/6445/6876/6442/1277/7433/786/845/6678/10278/1012/1292/4629/3679/165/1266/5740/89797/10290/2273/10580/6261/1293/58529/4638/4046/7040/8082/43/2170/115/6444/4208/7136/4608/7140",0.431707695803346
"HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING",54,-0.359524087028181,-1.47779551534754,0.0244601991495603,0.032184472565211,0.00609811059130313,6518,"tags=44%, list=28%, signal=32%","324/5054/6885/3398/9612/3460/3726/23645/4092/4086/90/999/7044/56937/2022/659/11031/7057/1499/7071/4053/6497/7040/64750",0.352487857583619
"HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS",116,0.325539816896297,1.47278368697735,0.0135811358039278,0.0183528862215241,0.00347738896828877,5829,"tags=35%, list=25%, signal=27%","6888/3267/84779/8624/3416/4744/5037/4842/4225/983/157807/2947/7419/29106/1033/56/3010/4751/29118/5984/8900/1459/1047/51087/3305/7137/64395/11004/8100/81570/6447/8161/79696/55342/11073/10926/8028/9133/4889/6790/7288",0.380730400722792
"HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN",190,-0.285858636253268,-1.46132347667549,0.00331641733743578,0.0053490602216706,0.0010135061472639,4706,"tags=31%, list=20%, signal=25%","70/6414/398/2895/6663/2668/959/3750/3699/57118/80303/29799/26548/1907/23031/5625/105375355/4908/6446/51806/1630/83714/3866/2261/6528/5795/5164/7051/1237/55220/3351/8823/786/54855/1271/941/51226/3195/10777/8786/9435/54847/7771/3779/3848/6261/1280/4599/5737/7356/6707/10686/11346/91543/10964/5055/50489/57451/3852",0.431707695803346
