"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","gene_name","gene_type","direction"
4833.5510142173,1.66951809235092,0.177579865870132,9.40150553763718,5.37878391447954e-21,1.07815862980112e-18,"ENSG00000001084.13","GCLC","protein_coding","Up_in_MUT"
264.230277130689,1.26380546415184,0.214503127665012,5.8917810565705,3.82055166653695e-09,7.02219158963085e-08,"ENSG00000003987.14","MTMR7","protein_coding","Up_in_MUT"
6188.73700972576,1.77691602970424,0.219409160984201,8.09864101267944,5.55765178141644e-16,5.07529856520124e-14,"ENSG00000003989.18","SLC7A2","protein_coding","Up_in_MUT"
362.329593970369,-1.4745998324042,0.206279140398044,-7.14856494727854,8.76897600183593e-13,4.15268995771936e-11,"ENSG00000004838.14","ZMYND10","protein_coding","Down_in_MUT"
192.433852132108,-1.7057825385695,0.259093657995344,-6.58365222741251,4.59030134416019e-11,1.40400666160969e-09,"ENSG00000004848.8","ARX","protein_coding","Down_in_MUT"
883.971801442238,-1.05103776520717,0.13352250225659,-7.87161525169285,3.50091416497828e-15,2.78248467212027e-13,"ENSG00000005379.17","TSPOAP1","protein_coding","Down_in_MUT"
93.2394442631604,-1.38420322955094,0.207574287295282,-6.66847155101566,2.58481141352973e-11,8.33810977334068e-10,"ENSG00000005421.9","PON1","protein_coding","Down_in_MUT"
56.5973297281393,1.21934295803711,0.266253583276367,4.5796302270661,4.65798694571344e-06,3.67462133531765e-05,"ENSG00000006071.15","ABCC8","protein_coding","Up_in_MUT"
4943.53367029683,-1.56053493633666,0.156852031328737,-9.94908974475461,2.54500350152339e-23,7.373800599732e-21,"ENSG00000006210.7","CX3CL1","protein_coding","Down_in_MUT"
57.3215958422839,-1.05817082791233,0.193301926206582,-5.47418667096708,4.39525564087219e-08,6.15200669873682e-07,"ENSG00000006283.18","CACNA1G","protein_coding","Down_in_MUT"
298.71358054887,-2.22237251729018,0.285734235389714,-7.7777607372077,7.38195142619068e-15,5.62847305990725e-13,"ENSG00000007174.18","DNAH9","protein_coding","Down_in_MUT"
154.026710091883,-2.09389972439788,0.367033773726987,-5.70492383612467,1.16395122734206e-08,1.88497406334445e-07,"ENSG00000007216.15","SLC13A2","protein_coding","Down_in_MUT"
67.0389404604425,-1.80437401084355,0.430955738503519,-4.18691259828489,2.82774652993693e-05,0.000175200446453382,"ENSG00000008197.5","TFAP2D","protein_coding","Down_in_MUT"
281.963816779272,-1.34343770653289,0.200758775983463,-6.69180064458826,2.20441047360656e-11,7.28804628675464e-10,"ENSG00000008226.20","DLEC1","protein_coding","Down_in_MUT"
2827.91732465685,-1.0405779855293,0.103996704115198,-10.0058746513412,1.43616921167501e-23,4.27777092946675e-21,"ENSG00000008256.16","CYTH3","protein_coding","Down_in_MUT"
502.091013796515,1.68959669830894,0.274311749709872,6.15940330698906,7.30195484096882e-10,1.61836302320249e-08,"ENSG00000009694.13","TENM1","protein_coding","Up_in_MUT"
613.960310658814,1.91880225058761,0.478104510983754,4.01335316129827,5.98622469652205e-05,0.000334479255439786,"ENSG00000009709.12","PAX7","protein_coding","Up_in_MUT"
5061.26290444415,1.55339751360922,0.265963067204423,5.84065122250697,5.19971616903157e-09,9.22718006810719e-08,"ENSG00000019186.10","CYP24A1","protein_coding","Up_in_MUT"
12687.5676909143,1.50078700469361,0.370711111448596,4.04840038063362,5.15688749538752e-05,0.000294226926898488,"ENSG00000021826.17","CPS1","protein_coding","Up_in_MUT"
1135.07752209092,2.45206008115348,0.296926573870786,8.25813617551303,1.47964691538743e-16,1.48295052956958e-14,"ENSG00000023839.12","ABCC2","protein_coding","Up_in_MUT"
2764.78347925947,1.58531893890738,0.115610138633,13.7126289930325,8.53098011155037e-43,1.81260578090148e-39,"ENSG00000023909.10","GCLM","protein_coding","Up_in_MUT"
99.883331445502,-1.51078128706645,0.262870092914021,-5.74725435791811,9.07042313577521e-09,1.51590695207285e-07,"ENSG00000029559.7","IBSP","protein_coding","Down_in_MUT"
218.915498952378,-1.69079131694358,0.253531676896869,-6.66895489209958,2.57631414824018e-11,8.32461044445077e-10,"ENSG00000034239.11","EFCAB1","protein_coding","Down_in_MUT"
1848.88007174187,1.10881758278619,0.0902868913196197,12.2810472991137,1.14506276340078e-34,1.25842397697746e-31,"ENSG00000038002.9","AGA","protein_coding","Up_in_MUT"
190.357053042243,-1.43653634464436,0.256811857851736,-5.59373058807006,2.22241724895757e-08,3.34896738257809e-07,"ENSG00000039537.14","C6","protein_coding","Down_in_MUT"
107.067722289385,1.14290371798101,0.202993503720621,5.63024775193782,1.79950943381861e-08,2.77734456005971e-07,"ENSG00000041515.16","MYO16","protein_coding","Up_in_MUT"
16044.5472198252,-1.62565326809838,0.177948542938178,-9.13552446823437,6.50904989345427e-20,1.1153221997542e-17,"ENSG00000041982.16","TNC","protein_coding","Down_in_MUT"
1608.82039807487,1.11793805877652,0.0796946801928267,14.0277626570757,1.05425344343943e-44,2.58462396121985e-41,"ENSG00000042286.15","AIFM2","protein_coding","Up_in_MUT"
4296.23713007329,-1.4100551350736,0.188150128314682,-7.4943086550293,6.66487183957705e-14,4.15687143638278e-12,"ENSG00000047936.11","ROS1","protein_coding","Down_in_MUT"
96.1503265083114,-1.20505497223644,0.15255004214131,-7.8994076653232,2.8023193805676e-15,2.24969070473728e-13,"ENSG00000050767.17","COL23A1","protein_coding","Down_in_MUT"
998.030221980067,1.34466888556451,0.244332669091676,5.50343468420906,3.7246255906265e-08,5.29944384816327e-07,"ENSG00000053108.17","FSTL4","protein_coding","Up_in_MUT"
384.336543288529,1.20174255089392,0.157571109729322,7.62666806725098,2.40898804524695e-14,1.6300819106171e-12,"ENSG00000054277.14","OPN3","protein_coding","Up_in_MUT"
160.716163179527,2.12947619099926,0.267446038518695,7.96226484712132,1.68918428438142e-15,1.4167366401979e-13,"ENSG00000054356.14","PTPRN","protein_coding","Up_in_MUT"
563.248730774945,1.25400155129387,0.208158134299025,6.02427359140555,1.69870810478727e-09,3.43089518426332e-08,"ENSG00000055118.16","KCNH2","protein_coding","Up_in_MUT"
164.532654686859,-1.10642768449646,0.38096042682953,-2.90431133150625,0.00368061960927817,0.0113032402743597,"ENSG00000057149.16","SERPINB3","protein_coding","Down_in_MUT"
771.748067436802,-1.94357781960455,0.208768584514849,-9.30972360674464,1.28165431380812e-20,2.41701802576204e-18,"ENSG00000058335.16","RASGRF1","protein_coding","Down_in_MUT"
166.260389620372,2.03633153932155,0.300932050311891,6.76674863050001,1.31708611877247e-11,4.5976836463743e-10,"ENSG00000060709.15","RIMBP2","protein_coding","Up_in_MUT"
