"gene_id","gene_name","unadj_log2FC","unadj_padj","adj_log2FC","adj_padj","unadj_sig","adj_sig"
"ENSG00000278112.1","AC145423.2",-0.0358255378290766,0.832007764842443,-0.0693140095969764,0.745518746374596,FALSE,FALSE
"ENSG00000278126.1","AC139768.1",0.0222801950656876,0.832543898395518,0.00788117647825579,0.958492095366919,FALSE,FALSE
"ENSG00000278129.2","ZNF8",-0.0680653373934943,0.450944867387216,-0.145225723617622,0.166464805785402,FALSE,FALSE
"ENSG00000278133.1","AC135050.6",0.0156343188417561,0.891384568591997,0.0746524417354802,0.580860109879614,FALSE,FALSE
"ENSG00000278153.1","AL121782.1",0.52114450568368,0.00562430688254768,0.577866551324918,0.0158947981295867,FALSE,FALSE
"ENSG00000278156.2","TSC22D1-AS1",-0.0997757289412597,0.502366942700551,-0.131877070993696,0.475057605924624,FALSE,FALSE
"ENSG00000278175.4","GLIDR",-0.0354854784019323,0.784541748110515,-0.0977582972243836,0.538800701142423,FALSE,FALSE
"ENSG00000278192.1","AL118505.1",0.0949757167905997,0.659796356123605,0.0853161714637291,0.765633600735004,FALSE,FALSE
"ENSG00000278195.2","SSTR3",-0.746034144640928,2.54402466700166e-05,-0.648276240131941,0.0028997815561193,FALSE,FALSE
"ENSG00000278196.3","IGLV2-8",-0.31351114851883,0.213305491201847,-0.266049093048937,0.415973007689287,FALSE,FALSE
"ENSG00000278200.1","LINC01971",0.0615957341552987,0.859579574012269,0.233290938890616,0.571825730627542,FALSE,FALSE
"ENSG00000278206.1","AL031320.2",-0.283025119804731,0.0447393223785538,-0.305982616488203,0.0876481561046525,FALSE,FALSE
"ENSG00000278212.2","AC134878.2",0.349518870496694,0.0129609205065211,0.0982389092699707,0.621224570633486,FALSE,FALSE
"ENSG00000278214.1","LINC02139",0.306178282837292,0.155157525055638,1.38965500758591,2.48951984095237e-07,FALSE,TRUE
"ENSG00000278224.7","PRICKLE4",0.11048098221053,0.599423936919243,-0.0910208282562124,0.736161243701323,FALSE,FALSE
"ENSG00000278231.1","AL133342.1",-0.136482613500414,0.463430459234356,-0.225730043311513,0.314250613574317,FALSE,FALSE
"ENSG00000278238.1","AL359513.1",0.355809487894787,0.0184430679529373,0.459426406395319,0.0120046885197926,FALSE,FALSE
"ENSG00000278259.4","MYO19",0.141017043936905,0.129860823824376,0.118941524363289,0.330499609067398,FALSE,FALSE
"ENSG00000278263.2","AC135068.3",-0.498768364634507,0.0456535801514867,-0.305789638859788,0.361932947930437,FALSE,FALSE
"ENSG00000278266.1","AC079949.2",0.897495474665352,0.00336078761244324,0.564558480916679,0.150463299374026,FALSE,FALSE
"ENSG00000278267.1","MIR6859-1",0.0917337445754955,0.750797268201888,-0.0495580386440329,0.903213081518289,FALSE,FALSE
"ENSG00000278275.2","AC103705.1",-0.287669741545857,0.305320779106616,-0.261857219797531,0.461877390316409,FALSE,FALSE
"ENSG00000278276.1","AL110115.2",0.247629620817015,0.224894121073008,-0.000603355092589502,0.998691088742076,FALSE,FALSE
"ENSG00000278281.1","MIR7856",-0.536982818384528,0.00730143109601194,-0.772350878383208,0.00176572410772065,FALSE,FALSE
"ENSG00000278291.1","AL161772.1",-0.00545226493573983,0.981620519215319,-0.161359491086125,0.550609523618149,FALSE,FALSE
"ENSG00000278311.5","GGNBP2",0.121469266186259,0.00219744282982331,0.100809217031639,0.0507162382736312,FALSE,FALSE
"ENSG00000278318.5","ZNF229",0.16033117813014,0.502424952845508,0.205760864271806,0.502860308368144,FALSE,FALSE
"ENSG00000278330.1","AC018529.2",-0.3800228526403,0.00168074848108748,-0.270139789452862,0.0901260274740069,FALSE,FALSE
"ENSG00000278338.4","VWA8-AS1",-0.743183428214299,0.0013572255199344,-0.727856648691506,0.014156007841284,FALSE,FALSE
"ENSG00000278341.1","AC138028.6",-0.00674401617326064,0.969778083474724,-0.0184091266111708,0.938552239274817,FALSE,FALSE
"ENSG00000278342.1","AL133373.2",0.401941359139546,0.234841042590362,0.407740219174613,0.337566510903083,FALSE,FALSE
"ENSG00000278344.1","AC063943.1",0.07102815012272,0.647293688296356,0.192815885794465,0.271069376729951,FALSE,FALSE
"ENSG00000278356.1","AC005911.1",0.0431591657251464,0.783102855243295,0.0608508564185991,0.76350765876867,FALSE,FALSE
"ENSG00000278376.1","AP004609.3",-0.0772867213582635,0.555723605925758,-0.0195199891258378,0.914326419997631,FALSE,FALSE
"ENSG00000278383.1","AL031673.1",0.368898559907282,0.00756960360365235,0.353973485449552,0.0411696080446573,FALSE,FALSE
"ENSG00000278385.1","AC121338.2",0.119765844858175,0.346218993201424,0.324494578883867,0.0242694472084315,FALSE,FALSE
"ENSG00000278388.1","AC002076.1",-0.0541466533031,0.930973964695769,-0.404643141722548,0.559261687541241,FALSE,FALSE
"ENSG00000278389.1","AC099518.6",-0.0753304630951386,0.666727885322079,0.0307188468352622,0.899747542617813,FALSE,FALSE
"ENSG00000278390.5","AL354696.2",0.597506643464298,3.22522572590151e-10,0.608244480413089,1.06197945504262e-07,FALSE,FALSE
"ENSG00000278396.1","AL122023.1",0.2285318239237,0.0603917409349319,0.175304397267152,0.268230364035309,FALSE,FALSE
"ENSG00000278399.1","AC026120.1",-0.394616856354268,0.120904935862531,-0.170852911482193,0.609885518774704,FALSE,FALSE
"ENSG00000278416.1","PMS2P2",0.289037395237081,0.335776678112018,0.282251926299511,0.455412223927967,FALSE,FALSE
"ENSG00000278420.1","MIR6819",-0.582253899679145,0.00724401322039641,-0.688253817399239,0.0120640711673124,FALSE,FALSE
"ENSG00000278434.1","AC023830.3",-0.0770882267039764,0.735620528251526,-0.0326927437415761,0.918049354536961,FALSE,FALSE
"ENSG00000278456.1","AC015712.7",-0.709720369705451,0.00136983993778354,-0.846524536533599,0.0025617317175631,FALSE,FALSE
"ENSG00000278463.2","H2AC4",0.832668896370958,0.00191396293790596,1.04370009698715,0.00242407385336074,FALSE,TRUE
"ENSG00000278464.2","AC068506.1",0.36478517369683,0.355292033003378,0.0592158379099862,0.920933160011222,FALSE,FALSE
"ENSG00000278467.1","AC138393.3",-0.119277076438484,0.463570937582971,0.0162542446664502,0.946250447358023,FALSE,FALSE
"ENSG00000278472.1","AC009268.2",0.360761360302378,0.0114816118864986,0.432217363228326,0.017225462253233,FALSE,FALSE
"ENSG00000278473.1","IGHV3-41",-0.548696197980659,0.0233988979295475,-0.511495779847524,0.101917596941985,FALSE,FALSE
"ENSG00000278480.1","ZBTB2P1",-0.140088977375941,0.541990110531032,-0.00396774382142683,0.991547964230864,FALSE,FALSE
"ENSG00000278484.1","AC010998.3",-1.17770113993958,0.00419932824787228,-0.619051797237969,0.262341727077619,TRUE,FALSE
"ENSG00000278492.1","AC006213.5",-0.271644907594996,0.114964315504241,-0.308210941887335,0.154341963185878,FALSE,FALSE
"ENSG00000278493.1","AC039056.2",-0.289356151612197,0.0733029689037497,-0.183904156057897,0.39501066635996,FALSE,FALSE
"ENSG00000278505.5","C17orf78",0.219447577504792,0.259345868559607,0.302726256617227,0.21540708207722,FALSE,FALSE
"ENSG00000278518.1","AL161645.1",0.0267456677081366,0.945005200699164,-0.194058157291408,0.685677964525569,FALSE,FALSE
"ENSG00000278530.4","CHMP1B2P",0.254584353845182,0.420321534410039,-0.11886233836351,0.786369288631835,FALSE,FALSE
"ENSG00000278531.1","AL512324.6",0.554544581409244,0.334513833675749,1.23629074627279,0.0597042122067266,FALSE,FALSE
"ENSG00000278532.1","AC026585.1",0.448114319649971,0.282125755650772,0.514040271926683,0.3140346933172,FALSE,FALSE
"ENSG00000278535.5","DHRS11",0.130518218609767,0.203262781712146,0.133750234622412,0.317271819061565,FALSE,FALSE
"ENSG00000278540.5","ACACA",0.243892641802955,0.00248715854818618,0.278816836318554,0.00595141625325305,FALSE,FALSE
"ENSG00000278546.1","AC003101.2",0.538087441586872,0.0128600268329901,0.526954386482692,0.0515669847527123,FALSE,FALSE
"ENSG00000278558.5","TMEM191B",0.0802769994001149,0.747364737124483,0.0493144959294302,0.888074130039543,FALSE,FALSE
"ENSG00000278561.1","PTPN20CP",-0.125804795288996,0.753939955650916,0.917601220667661,0.0382263472177706,FALSE,FALSE
"ENSG00000278570.5","NR2E3",-0.0109659681533734,0.95657731555068,-0.00533391457139523,0.983755263600001,FALSE,FALSE
"ENSG00000278576.1","AL162171.3",0.306467237049257,0.0130410125150643,0.020647783747402,0.921753555229562,FALSE,FALSE
"ENSG00000278588.2","H2BC10",-0.0409202540923987,0.916732966559717,0.202452187725864,0.673605389179003,FALSE,FALSE
"ENSG00000278590.1","RN7SL113P",-0.581246909736052,0.00143655789718118,0.600889014502024,0.0162637147752742,FALSE,FALSE
