"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","gene_name","gene_type","ensembl_clean","ENTREZID"
3409.85556405132,-0.0771899410354403,0.0871461614697052,-0.885752622188344,0.375750845170986,0.492274229721893,"ENSG00000000003.15","TSPAN6","protein_coding","ENSG00000000003","7105"
6.5976378607646,-3.06344399809959,0.418875692421673,-7.31349193453719,2.60287937548754e-13,1.41805758249852e-11,"ENSG00000000005.6","TNMD","protein_coding","ENSG00000000005","64102"
1630.00504834223,0.0912501321156657,0.0659104794310593,1.38445559648995,0.166218995427531,0.259710050165253,"ENSG00000000419.13","DPM1","protein_coding","ENSG00000000419","8813"
786.133062695031,0.175699429988424,0.0542785958993761,3.23699290810953,0.00120796413692362,0.00439035522954643,"ENSG00000000457.14","SCYL3","protein_coding","ENSG00000000457","57147"
404.438109270818,0.146836932093153,0.0842377868303986,1.74312428683329,0.0813119070996295,0.14671866563847,"ENSG00000000460.17","C1orf112","protein_coding","ENSG00000000460","55732"
1059.89281527803,-0.539502957886711,0.11349698544672,-4.75345627695087,1.99968364616991e-06,1.75715239832041e-05,"ENSG00000000938.13","FGR","protein_coding","ENSG00000000938","2268"
5405.27440440512,-0.11242296397987,0.131533479154483,-0.854709878447236,0.39271178040945,0.509443960492953,"ENSG00000000971.16","CFH","protein_coding","ENSG00000000971","3075"
2575.44738585165,0.402905350469727,0.0728636787367971,5.52957738965016,3.21003165408039e-08,4.64820167411159e-07,"ENSG00000001036.14","FUCA2","protein_coding","ENSG00000001036","2519"
4833.5510142173,1.66951809235092,0.177579865870132,9.40150553763718,5.37878391447954e-21,1.07815862980112e-18,"ENSG00000001084.13","GCLC","protein_coding","ENSG00000001084","2729"
2041.28827748688,-0.126518678411115,0.0669232344938245,-1.89050453654911,0.0586905144273922,0.112750173918952,"ENSG00000001167.14","NFYA","protein_coding","ENSG00000001167","4800"
583.903115708844,-0.0735447210019895,0.071009623313704,-1.03570076237535,0.300341766591287,0.414057982655546,"ENSG00000001460.18","STPG1","protein_coding","ENSG00000001460","90529"
2303.7786860182,-0.150041087712756,0.0786108900792225,-1.90865524562242,0.0563065801085087,0.109084372660524,"ENSG00000001461.17","NIPAL3","protein_coding","ENSG00000001461","57185"
2164.12919614264,0.0399443235385542,0.0494593919604893,0.807618572635583,0.419310191684401,0.534959974347446,"ENSG00000001497.18","LAS1L","protein_coding","ENSG00000001497","81887"
2281.20143506672,-0.0392502090408086,0.0901501136075853,-0.435387238796625,0.663281371575854,0.749758488863062,"ENSG00000001561.7","ENPP4","protein_coding","ENSG00000001561","22875"
1905.96100819589,0.323486562857889,0.109587691980041,2.95185122538036,0.00315875082708636,0.00991887080050544,"ENSG00000001617.12","SEMA3F","protein_coding","ENSG00000001617","6405"
950.821955633526,-0.528433222140738,0.218325983364066,-2.42038631407219,0.0155040263695182,0.0376135209273742,"ENSG00000001626.16","CFTR","protein_coding","ENSG00000001626","1080"
