"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Development and regeneration","hsa04382","Cornified envelope formation","32/326","177/7838",0.180790960451977,4.34674707982392,9.38150963472656,1.03206759152025e-12,2.88978925625671e-10,2.88978925625671e-10,"9080/6276/3713/51208/6705/9119/51702/390792/3852/6706/54474/3882/29943/3861/6278/6699/126637/1308/6273/388698/6700/6703/6698/6707/23581/25984/10686/3881/3884/3848/6704/1830",32
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","35/326","327/7838",0.107033639143731,2.57340387609989,6.05440048050374,2.02545886916595e-07,2.83564241683233e-05,2.83564241683233e-05,"1142/134/2561/9568/10800/2916/122042/4158/5737/255061/3357/6344/154/2899/2568/5340/2740/2917/2903/3351/4852/4161/9340/10911/2560/1392/5645/553/1908/387129/5644/1816/3360/57152/116444",35
"Environmental Information Processing","Signaling molecules and interaction","hsa04082","Neuroactive ligand signaling","23/326","189/7838",0.121693121693122,2.92586100561561,5.58289480997223,3.21544345775782e-06,0.000300108056057397,0.000300108056057397,"134/2561/9568/181/6572/60482/2916/255061/3357/154/6512/2899/2568/2917/2903/3351/43/2560/1103/111/1816/3360/116444",23
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","14/326","91/7838",0.153846153846154,3.69891458235017,5.3944726032704,2.05254174339409e-05,0.00143677922037587,0.00143677922037587,"1301/1359/8645/1305/1310/81578/91522/1296/1308/3769/1302/1803/5645/5644",14
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","22/326","215/7838",0.102325581395349,2.46020830360964,4.52248377690206,8.11351767391711e-05,0.00454356989739358,0.00454356989739358,"134/2737/3776/9568/1262/84152/4158/64399/154/2740/2903/3351/4852/51806/1392/1908/5602/111/1816/3360/116444/56670",22
"Environmental Information Processing","Signaling molecules and interaction","hsa04519","Cadherin signaling","32/326","384/7838",0.0833333333333333,2.00357873210634,4.20076416892589,0.000122613678106121,0.00572197164495229,0.0057219716449523,"8326/64881/2561/54798/64005/84152/1825/5100/1956/80326/9119/79633/1009/2196/390792/3852/2568/54474/3882/3861/6327/28316/2560/5602/6331/1002/25984/375323/3881/3884/3848/1830",32
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","11/326","77/7838",0.142857142857143,3.43470639789658,4.472383655316,0.000310585572058954,0.0124234228823582,0.0124234228823582,"820/1673/390792/5340/54474/3882/3861/25984/3120/3881/3884",11
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","20/326","229/7838",0.0873362445414847,2.09982050526429,3.51869557945363,0.0013247396726108,0.0463658885413779,0.0463658885413779,"84467/4622/1301/4608/3690/8572/84675/3696/2201/4606/118461/4625/270/7140/7125/1302/7136/7060/58529/1311",20
