id	filename	md5	size	state
48d5fe32-37ca-4717-af64-1343a3561849	48d5fe32-37ca-4717-af64-1343a3561849/04ce9fac-b5f3-4830-935e-9d6ea74ee915.rna_seq.augmented_star_gene_counts.tsv	f414598e7397e797f9126497ee198b53	4257770	validated
c5a1245e-f3c5-4f42-afd6-9b12f01a6445	c5a1245e-f3c5-4f42-afd6-9b12f01a6445/facd5609-e5f0-4993-bd84-049447d60d32.rna_seq.augmented_star_gene_counts.tsv	e70ea75b06ab27626863f5d4936813cf	4236370	validated
76cc364e-8214-4a17-8083-9ea80e74c400	76cc364e-8214-4a17-8083-9ea80e74c400/918be5f7-a963-406f-8ce4-0a3e528998e5.rna_seq.augmented_star_gene_counts.tsv	532a71a067f0e4104b824a67c52d0839	4243235	validated
09f9f414-db5b-4b54-9e8e-234bf9d7c678	09f9f414-db5b-4b54-9e8e-234bf9d7c678/81a33f6c-0195-45c5-87e7-7748838d0a4e.rna_seq.augmented_star_gene_counts.tsv	fd359929e01900197b0e1d69a3a8e4ee	4229060	validated
a9e3a464-50ea-49a0-9482-1513ed167bf4	a9e3a464-50ea-49a0-9482-1513ed167bf4/6804af50-1b4f-4872-83b8-bae24d398cb4.rna_seq.augmented_star_gene_counts.tsv	f0bb3bbc9da88c260eb3355dc9e69d29	4251798	validated
afdf58d1-5814-4e78-a92e-26fbcc97da32	afdf58d1-5814-4e78-a92e-26fbcc97da32/0a5dab01-33ff-41d1-8842-7b7f18a6efe0.rna_seq.augmented_star_gene_counts.tsv	96f4226c5a485e5eee3a6156d4b4ba05	4219971	validated
2bbe47a1-f055-43e7-94d3-06aafb5af6e8	2bbe47a1-f055-43e7-94d3-06aafb5af6e8/4f8b284e-7e42-45c5-b7cc-57cc678ec3df.rna_seq.augmented_star_gene_counts.tsv	ff5dd71ceb95be5107ecbf1b2ef3f202	4240703	validated
576ad342-ce70-4c3c-b69d-8f1f5c4cd358	576ad342-ce70-4c3c-b69d-8f1f5c4cd358/ee14c1ac-fa18-4be1-b836-a1274abafe28.rna_seq.augmented_star_gene_counts.tsv	03f28bf9185dd87e30a53a43b1d55010	4234774	validated
4a5c811e-d5d9-48d7-9bcc-4c9dc72df8f4	4a5c811e-d5d9-48d7-9bcc-4c9dc72df8f4/3f79d678-e5d5-443e-a7df-187c2acd2b2c.rna_seq.augmented_star_gene_counts.tsv	7cc33c13fc325e3a285abb18745e5789	4242633	validated
21285d92-3596-4a82-91ae-a99e22479a3c	21285d92-3596-4a82-91ae-a99e22479a3c/4f721842-9460-4376-b577-59c3731f34a6.rna_seq.augmented_star_gene_counts.tsv	d8b5726161df406be7d7bce03f7051ff	4217677	validated
d23c89e5-b295-40b7-a5e8-ee1d4a584dd4	d23c89e5-b295-40b7-a5e8-ee1d4a584dd4/dd6e2735-7d83-4bc4-87b3-05a5d7f08caa.rna_seq.augmented_star_gene_counts.tsv	4650e418a722ce83238d5beaa9809944	4231599	validated
65f85615-96a2-4b3c-ac05-ab67d0bf9e99	65f85615-96a2-4b3c-ac05-ab67d0bf9e99/ff36264d-8485-46e6-8259-0b55f651ed8f.rna_seq.augmented_star_gene_counts.tsv	db2fbef479705f91deb9fbe10231bb1c	4234091	validated
69a379e5-c8ba-43ed-b267-bad111c851fb	69a379e5-c8ba-43ed-b267-bad111c851fb/929a50ee-02a9-44f5-8078-e4020a89263f.rna_seq.augmented_star_gene_counts.tsv	4d87adab0256e62652f56526c1741c66	4249251	validated
cb061496-b611-48bb-9484-c6ca07f9951e	cb061496-b611-48bb-9484-c6ca07f9951e/4b6faa2b-5b8d-4ee5-ac5d-aafa6d95327f.rna_seq.augmented_star_gene_counts.tsv	7a1e7f013be2ee8a3b3499df31923bd2	4234595	validated
8fadb6d4-de92-4301-9b6e-7dd857fec978	8fadb6d4-de92-4301-9b6e-7dd857fec978/e9efd91b-8824-456b-b650-1d0287efbbe8.rna_seq.augmented_star_gene_counts.tsv	bbbc217a5b46b7d27f4f894e02f09994	4223282	validated
de38d138-723c-4256-98f4-2788f7cf1e87	de38d138-723c-4256-98f4-2788f7cf1e87/98f4637a-4953-4f52-b90a-c768d005a3e7.rna_seq.augmented_star_gene_counts.tsv	23ea2782b589de813060a48515ca3d5a	4250139	validated
490ee22a-f171-4f7f-9d49-835afe7388c1	490ee22a-f171-4f7f-9d49-835afe7388c1/5241ced4-4a72-40dc-9698-a647fb6d03a4.rna_seq.augmented_star_gene_counts.tsv	d8ed276fbb9f4e5a0dc8f22de2db5dbd	4243977	validated
47fc2fd2-84ce-49e2-8481-407d7a639042	47fc2fd2-84ce-49e2-8481-407d7a639042/ef11ddff-02bb-44e2-ab77-fadde20acd87.rna_seq.augmented_star_gene_counts.tsv	f374fb2cc687a42ba2c41ee20ceb0684	4232239	validated
8e14dba9-6132-483c-892b-b244704fdc38	8e14dba9-6132-483c-892b-b244704fdc38/9343d3bd-0f60-49c3-8625-31a8a7a846c4.rna_seq.augmented_star_gene_counts.tsv	ad64263c4428fbc208bb34e0a5d2e362	4245632	validated
5f4fa91b-489e-4ac9-b685-53952f77bd7a	5f4fa91b-489e-4ac9-b685-53952f77bd7a/0bb88c14-58c0-45d8-a8f3-f41840f62d37.rna_seq.augmented_star_gene_counts.tsv	610bf6cfc175ec826bc898feead50f01	4229070	validated
593e91b8-cbcd-4dbf-95ed-9dce881a430b	593e91b8-cbcd-4dbf-95ed-9dce881a430b/8d438e20-04cb-4b39-b3a9-96a3a35de104.rna_seq.augmented_star_gene_counts.tsv	9f8c230a15bf3b782827f7c355f3eff4	4231720	validated
990303de-eff3-4418-b305-9bf63236826f	990303de-eff3-4418-b305-9bf63236826f/593623b6-0f7d-4089-8697-518c573c86c6.rna_seq.augmented_star_gene_counts.tsv	c916a952c9cf5f9fa90707190b35eaf3	4263480	validated
d84121c5-5421-43a4-825a-40f357ecc97b	d84121c5-5421-43a4-825a-40f357ecc97b/2b99d8d7-f329-4fe6-97b5-167953311755.rna_seq.augmented_star_gene_counts.tsv	c97bfcd9f0bf53810f280aa331cf062b	4239370	validated
de26de4a-c738-4a8b-a44a-0eab208c0db2	de26de4a-c738-4a8b-a44a-0eab208c0db2/fb3e2838-b073-40c9-824f-3216f940a2c5.rna_seq.augmented_star_gene_counts.tsv	aa4c3f2f7f71e48e66bcb156dbb98a3b	4241952	validated
38cc1ced-6874-4aed-ab73-8c6344564cd6	38cc1ced-6874-4aed-ab73-8c6344564cd6/d0f1d923-1014-4a12-824b-9939fd75f9b1.rna_seq.augmented_star_gene_counts.tsv	2989a65bbd9f6f15884be052ebdbf828	4224864	validated
1c5de7db-7e05-4289-ace6-b59b6e2392e7	1c5de7db-7e05-4289-ace6-b59b6e2392e7/e0e9a0df-7052-4d42-b3fd-10ee23ceae62.rna_seq.augmented_star_gene_counts.tsv	d1837ef5ddfec327343cc413cc69aa86	4248454	validated
0b73f593-b6e8-4897-9b9b-f09e65e436b7	0b73f593-b6e8-4897-9b9b-f09e65e436b7/30a6ea89-8eda-47cf-b336-e070fcd08740.rna_seq.augmented_star_gene_counts.tsv	9717e87c21db6d45d57d5a02aa5b6b2e	4230744	validated
74b6cce1-6a5b-4f86-8f41-d842106bfe8f	74b6cce1-6a5b-4f86-8f41-d842106bfe8f/e48cabb8-73cd-4d42-81b0-f9ab7bebecc1.rna_seq.augmented_star_gene_counts.tsv	10a399584f292e29af3b0fce35b88872	4250320	validated
fc757476-1d31-470b-b648-79608b201bdc	fc757476-1d31-470b-b648-79608b201bdc/156a175b-b419-4089-8541-7318e3dee78a.rna_seq.augmented_star_gene_counts.tsv	fd4dab831f28f3a89edfa334c3a89fd9	4233530	validated
